Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.146429923355639,4.6141216103468E-06,0.306922339438389,0,0,0,72.4585171289715,1.61550819650369,-3.16188395392895E-05,0.0620334640597006,2.74355272384867,-0.00648256065496445,3.23450546919946,0,0,0,0,0,0,package://flying_car_urdf/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://flying_car_urdf/meshes/base_link.STL,,base_link^flying_car_urdf_simple-4,base_link,RL_steer_joint,RL_steer_joint,revolute,0.707,0.15,0.308,1.5708,0,-3.1416,base_link,0,0,1,0,0,0,0,,,,,,,,
FL_arm_link,0.405693257704713,0.0031481565089142,0.107253489414463,0,0,0,3.89447230721183,0.00764950499387066,7.20024305750638E-05,-2.12112386887157E-07,0.0330920443295484,-1.37630637299853E-08,0.0321291032185021,0,0,0,0,0,0,package://flying_car_urdf/meshes/FL_arm_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://flying_car_urdf/meshes/FL_arm_link.STL,,FL_arm^flying_car_urdf_simple-7,FL_link,FL_joint,FL_arm_joint,revolute,0.940000000000001,0.48,0.339999999999999,0,0,1.5707963267949,base_link,0,0,-1,0,0,0,0,,,,,,,,
FL_prop_link,7.9164959032596E-09,-0.00186087352819841,-1.45022256425875E-08,0,0,0,1.00633319200359,0.0495943276929438,5.12014239400693E-11,0.0777130986532108,0.173195440429717,1.30510821163399E-10,0.123701063238782,0,0,0,0,0,0,package://flying_car_urdf/meshes/FL_prop_link.STL,1,1,1,1,0,0,0,0,0,0,package://flying_car_urdf/meshes/FL_prop_link.STL,,26x8.5-2,FL_prop_link,FL_prop_joint,FL_prop_link,revolute,0.76505,0,0.254,1.5708,0,0,FL_arm_link,0,1,0,0,0,0,0,,,,,,,,
FR_arm_link,0.405693257704711,-0.00725348941446158,-0.00314828941180689,0,0,0,3.89447230721182,0.00764950499387065,2.12112386890709E-07,-7.20021868805378E-05,0.0321291032185021,1.37630637386484E-08,0.0330920443295484,0,0,0,0,0,0,package://flying_car_urdf/meshes/FR_arm_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://flying_car_urdf/meshes/FR_arm_link.STL,,사본 (2) 어셈블리.asmdot^flying_car_urdf_simple-7,FR_lihk,FR_joint,FR_arm_joint,revolute,0.94,-0.48,0.44,-1.5708,0,-1.5708,base_link,0,-1,0,0,0,0,0,,,,,,,,
FR_prop_link,-1.95864401566527E-07,-0.00186086168514299,1.01704304089623E-07,0,0,0,1.00636259561687,0.0395701881672427,4.88903964209589E-10,0.0720874245458485,0.173211048789436,-1.15461644657509E-10,0.133740813319805,0,0,0,0,0,0,package://flying_car_urdf/meshes/FR_prop_link.STL,1,1,1,1,0,0,0,0,0,0,package://flying_car_urdf/meshes/FR_prop_link.STL,,26x8.5-1,FR_prop_link,FR_prop_joint,FR_prop_joint,continuous,0.765051653365603,-0.154000000000011,0,0,0,3.14159265358979,FR_arm_link,0,1,0,,,,,,,,,,,,
RR_arm_link,0.405693257704711,0.00314815650891492,0.107253489414463,0,0,0,3.89447230721182,0.00764950499387065,7.20024305750679E-05,-2.1211238688973E-07,0.0330920443295484,-1.37630637350729E-08,0.0321291032185021,0,0,0,0,0,0,package://flying_car_urdf/meshes/RR_arm_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://flying_car_urdf/meshes/RR_arm_link.STL,,FL_arm^flying_car_urdf_simple-8,RR_link,RR_joint,RR_arm_joint,revolute,-0.94,-0.48,0.34,0,0,-1.5708,base_link,0,0,-1,0,0,0,0,,,,,,,,
RR_prop_link,2.17005934749492E-09,-0.00186087212280439,-8.24081997086168E-09,0,0,0,1.00633311458426,0.0495943271195099,-5.63368805909919E-11,0.0777130981431345,0.173195439404083,2.46588541774348E-10,0.123701062736267,0,0,0,0,0,0,package://flying_car_urdf/meshes/RR_prop_link.STL,1,1,1,1,0,0,0,0,0,0,package://flying_car_urdf/meshes/RR_prop_link.STL,,26x8.5-5,RR_prop_link,RR_prop_joint,RR_prop_joint,continuous,0.765051653365595,0,0.254000000000003,1.5707963267949,0,3.14159265358979,RR_arm_link,0,1,0,,,,,,,,,,,,
RL_arm_link,0.40569325770471,0.00725348941446136,0.00314828941180623,0,0,0,3.89447230721181,0.00764950499387061,-2.12112386866559E-07,7.20021868805221E-05,0.032129103218502,1.37630637374215E-08,0.0330920443295484,0,0,0,0,0,0,package://flying_car_urdf/meshes/RL_arm_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://flying_car_urdf/meshes/RL_arm_link.STL,,사본 (2) 어셈블리.asmdot^flying_car_urdf_simple-8,RL_link,RL_joint,RL_arm_joint,revolute,-0.94,0.48,0.44,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
RL_prop_link,-1.90695036650368E-07,-0.00186086500205929,9.97787533985051E-08,0,0,0,1.00636280361878,0.0395701883931864,5.37299574939007E-10,0.0720874251910353,0.173211051383078,-1.36539842148325E-10,0.133740815794897,0,0,0,0,0,0,package://flying_car_urdf/meshes/RL_prop_link.STL,1,1,1,1,0,0,0,0,0,0,package://flying_car_urdf/meshes/RL_prop_link.STL,,26x8.5-3,RL_prop_link,RL_prop_joint,RL_prop_joint,continuous,0.765051653365595,0.154000000000009,0,0,0,0,RL_arm_link,0,1,0,,,,,,,,,,,,
FR_steer_link,-2.22044604925031E-16,1.11022302462516E-16,-0.0452127836143312,0,0,0,0.230273438117984,0.000349256798258404,1.45518192075896E-14,-7.92477996108057E-19,0.000450897154400186,1.54271030766644E-20,0.000182392582849012,0,0,0,0,0,0,package://flying_car_urdf/meshes/FR_steer_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://flying_car_urdf/meshes/FR_steer_link.STL,,어셈블리.asmdot^flying_car_urdf_simple-1,FR_steer_link,FR_steer_joint,FR_steer_joint,revolute,0.707,-0.308,0.15,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
